selector,systems,acceptable_rate,medium_high_rate,high_rate,mean_DockQ,median_DockQ
AF-M full-precision rank-1,500,0.6,0.476,0.178,0.42434334416814606,0.4482989660479395
candidate_ridge_v1_within_rank,500,0.604,0.478,0.18,0.4273887246193724,0.45239557028149135
