selector,systems,acceptable_rate,medium_high_rate,high_rate,mean_DockQ,median_DockQ
AF-M full-precision rank-1,500,0.6,0.476,0.178,0.42434334416814606,0.4482989660479395
candidate_ridge_v1_iface_size,500,0.606,0.476,0.174,0.4255055199193675,0.4600608865277023
