comparison,reference,delta_acceptable_rate,delta_acceptable_rate_ci_low,delta_acceptable_rate_ci_high,delta_mean_DockQ,delta_mean_DockQ_ci_low,delta_mean_DockQ_ci_high
M1_ipTM,AF-M full-precision rank-1,0.0040000000000000036,-0.0020000000000000018,0.01200000000000001,0.0007941915394880499,-0.004197425542449985,0.0061758070141834445
M2_AF_confidence,AF-M full-precision rank-1,0.0040000000000000036,-0.008000000000000007,0.014049999999999964,0.0024549770760442747,-0.003957179271724605,0.008065990425503562
M3_AF_plus_physics,AF-M full-precision rank-1,-0.008000000000000007,-0.026000000000000023,0.008000000000000007,-0.0007329063708384404,-0.010761165660349226,0.008659572373840173
