model,features,roc_auc,average_precision,brier
S1_top1_AF,ranking_confidence;iptm_full_precision;pDockQ2_min;iLIS;ipSAE,0.7960333333333334,0.8147816873827746,0.17316718061218722
S2_top1_AF_plus_physics,ranking_confidence;iptm_full_precision;pDockQ2_min;iLIS;ipSAE;bsa_a2;clash_density;backbone_backbone_clash_count;largest_contact_component_fraction,0.7905,0.8035288433364812,0.17527249661393796
S3_top1_AF_plus_ensemble,ranking_confidence;iptm_full_precision;pDockQ2_min;iLIS;ipSAE;mean_contact_jaccard;max_interface_cluster_fraction;median_receptor_aligned_ligand_rmsd;iptm_std_across_models,0.8115333333333333,0.8326894500854102,0.16914540047354332
S4_all_features,ranking_confidence;iptm_full_precision;pDockQ2_min;iLIS;ipSAE;bsa_a2;clash_density;backbone_backbone_clash_count;largest_contact_component_fraction;mean_contact_jaccard;max_interface_cluster_fraction;median_receptor_aligned_ligand_rmsd;iptm_std_across_models,0.80855,0.8289930193024767,0.17064759469489854
