comparison,reference,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier,delta_brier_ci_low,delta_brier_ci_high
S2_top1_AF_plus_physics,S1_top1_AF,-0.00553333333333339,-0.012530743478720513,0.0013247583742707597,-0.011252844046293342,-0.024106278374154924,0.0011847130900249421,0.0021053160017507344,2.355935311959343e-05,0.004517414963087909
S3_top1_AF_plus_ensemble,S1_top1_AF,0.015499999999999958,0.001427307764431901,0.030793463027537035,0.01790776270263561,0.0023900156074534084,0.034296653430300035,-0.0040217801386439045,-0.00959670319848142,0.0017992913167324757
S4_all_features,S1_top1_AF,0.01251666666666662,-0.0016960594551045176,0.02833130667557738,0.014211331919702141,-0.0024711713134522267,0.03210889947160269,-0.0025195859172886803,-0.009227103497349644,0.003636048956688353
