selector,systems,within_system_spearman_median,within_system_spearman_n,first_acceptable_rank_median,first_acceptable_rank_mean,recall_at_1,recall_at_3,recall_at_5,rescuable_systems,rescuable_within_system_spearman_median,rescuable_within_system_spearman_n,rescuable_first_acceptable_rank_median,rescuable_first_acceptable_rank_mean,rescuable_recall_at_1,rescuable_recall_at_3,rescuable_recall_at_5
pairwise_jaccard_nn,500,0.06490612250874742,499,8.0,9.054123711340207,0.6855670103092784,0.7603092783505154,0.7989690721649485,88,-0.10451127819548872,88,11.0,10.784090909090908,0.26136363636363635,0.42045454545454547,0.4659090909090909
AF-M rank-1 confidence,500,0.22665835159621078,500,1.0,2.4768041237113403,0.7731958762886598,0.8273195876288659,0.8814432989690721,88,-0.06466165413533834,88,6.0,7.511363636363637,0.0,0.23863636363636365,0.4772727272727273
candidate_ridge_v1,500,0.20601503759398496,500,1.0,3.0489690721649483,0.7783505154639175,0.8427835051546392,0.884020618556701,88,-0.04962406015037594,88,6.0,7.590909090909091,0.056818181818181816,0.3068181818181818,0.48863636363636365
